Time, Ambient, Target, Weight
591, 29.13, 26.35, 1322519.00
592, 29.13, 26.43, 1321425.00
593, 29.09, 26.47, 1322199.00
594, 29.09, 26.35, 1322301.00
594, 29.13, 26.37, 1322971.00
595, 29.09, 26.43, 1322373.00
596, 29.15, 26.49, 1322938.00
597, 29.13, 26.49, 1322163.00
598, 29.09, 26.55, 1322315.00
599, 29.09, 26.49, 1323262.00
599, 29.13, 26.53, 1322297.00
600, 29.09, 26.59, 1322660.00
601, 29.13, 26.65, 1321497.00
602, 29.13, 26.71, 1320916.00
603, 29.15, 26.83, 1322333.00
604, 29.15, 26.77, 1322408.00
605, 29.13, 26.79, 1317320.00
605, 29.13, 26.83, 1321238.00
606, 29.17, 26.83, 1327188.00
607, 29.13, 26.93, 1320765.00
608, 29.13, 26.85, 1322380.00
609, 29.15, 26.91, 1322344.00
610, 29.13, 26.93, 1320905.00
610, 29.13, 26.99, 1320256.00
611, 29.13, 27.11, 1322720.00
612, 29.13, 27.11, 1318324.00
613, 29.17, 27.17, 1321672.00
614, 29.15, 27.25, 1325224.00
615, 29.17, 27.35, 1323628.00
615, 29.17, 27.41, 1323971.00
616, 29.17, 27.35, 1318092.00
617, 29.15, 27.47, 1321898.00
618, 29.19, 27.59, 1324124.00
619, 29.17, 27.61, 1322592.00
620, 29.15, 27.67, 1322459.00
620, 29.17, 27.75, 1323504.00
621, 29.19, 27.87, 1323678.00
622, 29.19, 27.91, 1320714.00
623, 29.19, 27.93, 1322785.00
624, 29.19, 28.13, 1321660.00
625, 29.21, 28.19, 1322935.00
625, 29.21, 28.23, 1320337.00
626, 29.19, 28.27, 1320167.00
627, 29.21, 28.43, 1322632.00
628, 29.25, 28.43, 1322310.00
629, 29.21, 28.57, 1320765.00
630, 29.23, 28.63, 1322376.00
630, 29.25, 28.75, 1320443.00
631, 29.25, 28.79, 1318599.00
632, 29.27, 28.83, 1322643.00
633, 29.25, 29.03, 1320176.00
634, 29.27, 29.19, 1320490.00
635, 29.27, 29.25, 1325060.00
635, 29.27, 29.31, 1322047.00
636, 29.25, 29.49, 1322535.00
637, 29.27, 29.59, 1318397.00
638, 29.31, 29.77, 1321612.00
639, 29.31, 30.11, 1322227.00
640, 29.35, 30.45, 1325389.00
640, 29.37, 30.81, 1325321.00
641, 29.37, 31.13, 1322222.00
642, 29.35, 31.55, 1321809.00
643, 29.37, 32.03, 1317852.00
644, 29.41, 32.39, 1321980.00
645, 29.41, 32.77, 1321676.00
645, 29.45, 33.25, 1325053.00
646, 29.49, 33.61, 1319660.00
647, 29.47, 33.99, 1324854.00
648, 29.49, 34.51, 1320945.00
649, 29.49, 34.93, 1319089.00
650, 29.53, 35.45, 1320942.00
650, 29.57, 35.81, 1323496.00
651, 29.59, 36.23, 1323730.00
652, 29.63, 36.73, 1321563.00
653, 29.63, 37.21, 1321640.00
654, 29.69, 37.83, 1323528.00
655, 29.69, 38.49, 1323420.00
656, 29.73, 38.97, 1325353.00
656, 29.79, 39.63, 1324881.00
657, 29.79, 40.29, 1322289.00
658, 29.83, 40.99, 1323353.00
659, 29.87, 41.59, 1322688.00
660, 29.91, 42.19, 1324816.00
661, 29.93, 42.73, 1321718.00
661, 30.01, 43.43, 1323052.00
662, 30.03, 44.15, 1321332.00
663, 30.11, 44.61, 1322357.00
664, 30.13, 45.19, 1322008.00
665, 30.15, 45.61, 1321577.00
666, 30.19, 46.29, 1323414.00
666, 30.29, 46.95, 1322478.00
667, 30.31, 47.63, 1322395.00
668, 30.41, 48.51, 1326674.00
669, 30.45, 49.55, 1321691.00
670, 30.49, 50.25, 1322814.00
671, 30.55, 50.91, 1323331.00
671, 30.61, 51.47, 1319228.00
672, 30.69, 51.85, 1321333.00
673, 30.75, 52.29, 1318934.00
674, 30.79, 52.71, 1321818.00
675, 30.89, 53.39, 1322658.00
676, 30.95, 54.51, 1322173.00
676, 31.03, 54.99, 1326560.00
677, 31.13, 55.31, 1323630.00
678, 31.19, 55.75, 1323174.00
679, 31.29, 56.17, 1322254.00
680, 31.35, 56.63, 1322071.00
681, 31.43, 56.99, 1322697.00
681, 31.51, 57.31, 1321070.00
682, 31.59, 57.57, 1319747.00
683, 31.71, 57.75, 1322048.00
684, 31.79, 57.95, 1323147.00
685, 31.87, 58.31, 1320970.00
686, 31.95, 58.61, 1320000.00
686, 32.01, 59.01, 1321775.00
687, 32.13, 59.09, 10.00
688, 32.21, 59.49, 1323517.00
689, 32.23, 59.87, 1319410.00
690, 32.35, 60.13, 1321699.00
691, 32.43, 60.45, 1325170.00
691, 32.51, 60.75, 1322748.00
692, 32.59, 60.89, 1326094.00
693, 32.67, 61.23, 1325831.00
694, 32.75, 61.49, 1322436.00
695, 32.85, 61.69, 1322462.00
696, 32.91, 61.93, 1322695.00
696, 32.99, 62.31, 1322985.00
697, 33.13, 62.47, 1322182.00
698, 33.17, 62.55, 1319837.00
699, 33.25, 62.85, 1323096.00
700, 33.33, 63.11, 1322302.00
701, 33.39, 63.43, 1322820.00
701, 33.51, 63.79, 1324922.00
702, 33.61, 64.07, 1326209.00
703, 33.67, 64.39, 1319486.00
704, 33.81, 64.51, 1321184.00
705, 33.87, 64.65, 1321028.00
706, 33.99, 64.81, 1322860.00
707, 34.03, 64.85, 1323818.00
707, 34.15, 64.95, 1320299.00
708, 34.23, 65.23, 1322011.00
709, 34.35, 65.51, 1322237.00
710, 34.39, 65.51, 1321007.00
711, 34.51, 65.71, 1322615.00
712, 34.57, 65.75, 1323306.00
712, 34.69, 65.89, 1323210.00
713, 34.75, 65.97, 1323211.00
714, 34.87, 66.23, 1324941.00
715, 34.97, 66.57, 1322528.00
716, 35.03, 66.69, 1325227.00
717, 35.11, 66.67, 1322638.00
717, 35.17, 66.51, 1321421.00
718, 35.25, 66.67, 1323061.00
719, 35.35, 66.75, 1324394.00
720, 35.43, 66.89, 1322059.00
721, 35.47, 66.53, 1322335.00
722, 35.55, 66.71, 1323454.00
722, 35.63, 67.09, 1322676.00
723, 35.69, 67.55, 1322447.00
724, 35.79, 67.55, 1322792.00
725, 35.87, 67.71, 1321692.00
726, 35.97, 67.75, 1322995.00
727, 36.03, 67.95, 1320748.00
727, 36.11, 67.93, 1325700.00
728, 36.23, 68.07, 1320896.00
729, 36.29, 68.17, 1319803.00
730, 36.35, 68.21, 1321542.00
731, 36.43, 68.29, 1321689.00
732, 36.53, 68.47, 1322433.00
732, 36.53, 68.63, 1322265.00
733, 36.59, 68.73, 1321461.00
734, 36.69, 68.89, 1323478.00
735, 36.77, 69.15, 1322992.00
736, 36.87, 69.15, 1322784.00
